City,Country,Date,Latitude,Longitude,Humidity,Pressure,Max_Temp,Cloudiness,Wind_Speed
Saint Paul Harbor,US,2020-07-22 22:19:13,57.79,-152.41,45,1014,66.2,20,8.2
Busselton,AU,2020-07-22 22:19:28,-33.65,115.33,52,1009,57.0,37,9.34
Mataura,NZ,2020-07-22 22:21:38,-46.19,168.86,83,1011,39.0,95,1.34
East London,ZA,2020-07-22 22:17:41,-33.02,27.91,41,1024,63.61,0,2.81
Hazorasp,UZ,2020-07-22 22:24:51,41.32,61.07,54,1003,78.8,40,2.1
Hithadhoo,MV,2020-07-22 22:17:22,-0.6,73.08,70,1007,83.46,59,2.4
New Norfolk,AU,2020-07-22 22:17:42,-42.78,147.06,88,1022,42.01,73,1.2
Vaini,TO,2020-07-22 22:17:49,-21.2,-175.2,73,1020,75.2,75,2.6
São Filipe,CV,2020-07-22 22:19:28,14.9,-24.5,85,1012,78.26,99,2.94
Cape Town,ZA,2020-07-22 22:21:40,-33.93,18.42,100,1023,55.0,0,1.0
Hobart,AU,2020-07-22 22:18:20,-42.88,147.33,75,1022,43.0,75,3.6
Lyngseidet,NO,2020-07-22 22:24:52,69.58,20.22,87,1010,50.0,75,13.4
Coquimbo,CL,2020-07-22 22:17:56,-29.95,-71.34,67,1019,57.2,40,6.2
Biltine,TD,2020-07-22 22:24:53,14.53,20.92,71,1010,77.77,100,12.76
Qaanaaq,GL,2020-07-22 22:17:32,77.48,-69.36,53,1014,47.84,0,0.5
Chancay,PE,2020-07-22 22:24:53,-11.57,-77.27,77,1014,62.6,75,2.6
Stege,DK,2020-07-22 22:24:53,54.99,12.28,1,1017,60.01,100,5.6
Tamala,RU,2020-07-22 22:24:53,52.54,43.25,96,1006,58.6,0,3.98
Smithers,CA,2020-07-22 22:24:53,54.78,-127.17,59,1009,62.6,75,2.96
Slave Lake,CA,2020-07-22 22:24:00,55.28,-114.77,72,1006,68.0,20,2.1
Ushuaia,AR,2020-07-22 22:17:21,-54.8,-68.3,64,1023,35.6,95,2.1
Perevoz,RU,2020-07-22 22:24:54,55.6,44.54,94,1003,58.73,62,2.56
Jamestown,US,2020-07-22 22:17:49,42.1,-79.24,73,1017,79.0,20,5.7
Barrow,US,2020-07-22 22:17:29,71.29,-156.79,81,1014,42.8,90,5.1
